Mutation Rate,Population Size,Numer of Generations,is_tournament,Tournament Size,Max Fitness Achieved,Valley Wdith,Genome Length
0.001,10,1000,False,18,49,3,100
0.001,10,1000,False,19,50,3,100
0.001,10,1000,False,20,47,3,100
0.001,10,1000,False,21,42,3,100
0.001,10,1000,False,22,41,3,100
0.001,10,1000,False,23,37,3,100
0.001,10,1000,False,24,48,3,100
0.001,10,1000,False,25,45,3,100
0.001,10,1000,False,26,54,3,100
0.001,10,1000,False,27,43,3,100
0.001,10,1000,False,28,45,3,100
0.001,10,1000,False,29,45,3,100
0.001,10,1000,False,30,41,3,100
0.001,10,1000,False,31,48,3,100
0.001,10,1000,False,32,46,3,100
0.001,10,1000,False,33,42,3,100
0.001,10,1000,False,34,45,3,100
0.001,10,1000,False,35,44,3,100
0.001,10,1000,False,36,39,3,100
0.001,10,1000,False,37,47,3,100
0.001,10,1000,False,38,46,3,100
0.001,10,1000,False,39,51,3,100
0.001,10,1000,False,40,42,3,100
0.001,10,1000,False,41,44,3,100
0.001,10,1000,False,42,40,3,100
0.001,10,1000,False,43,44,3,100
0.001,10,1000,False,44,40,3,100
0.001,10,1000,False,45,49,3,100
0.001,10,1000,False,46,43,3,100
0.001,10,1000,False,47,50,3,100
0.001,10,1000,False,48,41,3,100
0.001,10,1000,False,49,45,3,100
0.001,10,1000,False,50,42,3,100
0.001,10,1000,False,51,38,3,100
0.001,10,1000,False,52,40,3,100
0.001,10,1000,False,53,49,3,100
0.001,10,1000,False,54,49,3,100
0.001,10,1000,False,55,44,3,100
0.001,10,1000,False,56,43,3,100
0.001,10,1000,False,57,47,3,100
0.001,10,1000,False,58,45,3,100
0.001,10,1000,False,59,47,3,100
0.001,10,1000,False,60,37,3,100
0.001,10,1000,False,61,45,3,100
0.001,10,1000,False,62,39,3,100
0.001,10,1000,False,63,53,3,100
0.001,10,1000,False,64,40,3,100
0.001,10,1000,False,65,43,3,100
0.001,10,1000,False,66,45,3,100
0.001,10,1000,False,67,43,3,100
0.001,10,1000,False,68,45,3,100
0.001,10,1000,False,69,46,3,100
0.001,10,1000,False,70,39,3,100
0.001,10,1000,False,71,50,3,100
0.001,10,1000,False,72,47,3,100
0.001,10,1000,False,73,43,3,100
0.001,10,1000,False,74,39,3,100
0.001,10,1000,False,75,45,3,100
0.001,10,1000,False,76,41,3,100
0.001,10,1000,False,77,46,3,100
0.001,10,1000,False,78,36,3,100
0.001,10,1000,False,79,46,3,100
0.001,10,1000,False,80,45,3,100
0.001,10,1000,False,81,45,3,100
0.001,10,1000,False,82,42,3,100
0.001,10,1000,False,83,50,3,100
0.001,10,1000,False,84,36,3,100
0.001,10,1000,False,85,52,3,100
0.001,10,1000,False,86,43,3,100
0.001,10,1000,False,87,45,3,100
0.001,10,1000,False,88,36,3,100
0.001,10,1000,False,89,40,3,100
0.001,10,1000,False,90,40,3,100
0.001,10,1000,False,91,43,3,100
0.001,10,1000,False,92,42,3,100
0.001,10,1000,False,93,42,3,100
0.001,10,1000,False,94,48,3,100
0.001,10,1000,False,95,56,3,100
